Namespace(alpha=0.2, batch_size=2048, beta=0.3, dataset='AMusic', decay=0.0001, early_stop=50, emb_size=64, epochs=1000, gpu_id=1, initilizer='normal', layer=4, lr=0.001, seed=2022, self_loop=0, task='train', top_H=4, topks='[10, 20]')
[TEST 0.65s], {'precision': [0.00084822, 0.00087529], 'recall': [0.00282598, 0.00591294], 'ndcg': [0.00173795, 0.00272748]}
EPOCH 1/1000 [0.29s], loss: 0.68985
EPOCH 2/1000 [0.19s], loss: 0.68808
EPOCH 3/1000 [0.22s], loss: 0.68558
EPOCH 4/1000 [0.24s], loss: 0.68177
EPOCH 5/1000 [0.24s], loss: 0.67568
EPOCH 6/1000 [0.25s], loss: 0.66554
EPOCH 7/1000 [0.25s], loss: 0.64942
EPOCH 8/1000 [0.24s], loss: 0.62391
EPOCH 9/1000 [0.21s], loss: 0.58844
EPOCH 10/1000 [0.18s], loss: 0.54531
[TEST 0.34s], {'precision': [0.02643927, 0.02028515], 'recall': [0.10907145, 0.16596496], 'ndcg': [0.07656126, 0.09407802]}
EPOCH 11/1000 [0.33s], loss: 0.49471
EPOCH 12/1000 [0.22s], loss: 0.44494
EPOCH 13/1000 [0.25s], loss: 0.39653
EPOCH 14/1000 [0.25s], loss: 0.35375
EPOCH 15/1000 [0.24s], loss: 0.31695
EPOCH 16/1000 [0.25s], loss: 0.28890
EPOCH 17/1000 [0.25s], loss: 0.26323
EPOCH 18/1000 [0.26s], loss: 0.24215
EPOCH 19/1000 [0.25s], loss: 0.22672
EPOCH 20/1000 [0.25s], loss: 0.21283
[TEST 0.35s], {'precision': [0.02927269, 0.02273958], 'recall': [0.12150548, 0.1884653 ], 'ndcg': [0.08158431, 0.10192189]}
EPOCH 21/1000 [0.31s], loss: 0.20333
EPOCH 22/1000 [0.23s], loss: 0.18937
EPOCH 23/1000 [0.25s], loss: 0.18148
EPOCH 24/1000 [0.26s], loss: 0.17147
EPOCH 25/1000 [0.26s], loss: 0.16542
EPOCH 26/1000 [0.25s], loss: 0.15871
EPOCH 27/1000 [0.25s], loss: 0.15269
EPOCH 28/1000 [0.25s], loss: 0.14845
EPOCH 29/1000 [0.26s], loss: 0.14218
EPOCH 30/1000 [0.27s], loss: 0.14021
[TEST 0.39s], {'precision': [0.03241292, 0.02522108], 'recall': [0.13701278, 0.20891006], 'ndcg': [0.09099001, 0.11318959]}
EPOCH 31/1000 [0.33s], loss: 0.13212
